id,type,subtype,price,transactionType,zip,visualisationOption,kitchen,building,energy,certificates,bedroom,land,atticExists,basementExists,outdoor,specificities,wellnessEquipment,parking,condition,Link to online sale,After signing the deed,4,To be defined,At delivery
10516957,house,house,5000,for sale,4870,xl,{'type': ''},"{'constructionYear': '1899', 'condition': 'to renovate'}",{'heatingType': 'fueloil'},{'primaryEnergyConsumptionLevel': ''},{'count': '3'},{'surface': '72'},,true,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},No,,,,
10532898,house,house,2500,for sale,2800,xl,{'type': 'hyper equipped'},"{'constructionYear': '1962', 'condition': 'just renovated'}",{'heatingType': 'gas'},{'primaryEnergyConsumptionLevel': ''},{'count': '3'},{'surface': '345'},true,true,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': 'true'}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': '4'}}",{'isNewlyBuilt': ''},,1962,,,
9731362,house,house,5000,for sale,7330,m,{'type': 'not installed'},"{'constructionYear': '', 'condition': ''}",{'heatingType': ''},{'primaryEnergyConsumptionLevel': ''},{'count': '0'},{'surface': '0'},,,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},,,Not installed,,
10568644,house,house,no price,for sale,1150,xl,{'type': ''},"{'constructionYear': '', 'condition': ''}",{'heatingType': ''},{'primaryEnergyConsumptionLevel': ''},{'count': '1'},{'surface': '0'},,,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},No,,,,
10575466,house,house,2500,for sale,3650,m,{'type': 'hyper equipped'},"{'constructionYear': '', 'condition': 'as new'}",{'heatingType': 'fueloil'},{'primaryEnergyConsumptionLevel': ''},{'count': '4'},{'surface': '720'},true,true,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},,As new,,,
10509743,house,house,10000,for sale,4400,xl,{'type': ''},"{'constructionYear': '', 'condition': 'to renovate'}",{'heatingType': 'gas'},{'primaryEnergyConsumptionLevel': '472'},{'count': '2'},{'surface': '71'},true,true,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},No,,,,
10589168,apartment,apartment,no price,for sale,1070,xl,{'type': 'installed'},"{'constructionYear': '', 'condition': ''}",{'heatingType': ''},{'primaryEnergyConsumptionLevel': ''},{'count': '4'},{'surface': ''},,,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},No,,,,
10482611,house,house,no price,for sale,1050,xl,{'type': ''},"{'constructionYear': '', 'condition': ''}",{'heatingType': ''},{'primaryEnergyConsumptionLevel': '527'},{'count': '4'},{'surface': '80'},,,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},No,,,,
10501268,house,house,1,for sale,7390,xl,{'type': ''},"{'constructionYear': '', 'condition': 'to renovate'}",{'heatingType': ''},{'primaryEnergyConsumptionLevel': '1106'},{'count': '2'},{'surface': '971'},,,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},No,,,,
10475959,apartment,flat studio,10000,for sale,8301,l,{'type': ''},"{'constructionYear': '', 'condition': ''}",{'heatingType': ''},{'primaryEnergyConsumptionLevel': ''},{'count': '2'},{'surface': ''},,,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},,,,6,
10403677,apartment,apartment,2500,for sale,2320,m,{'type': ''},"{'constructionYear': '', 'condition': 'as new'}",{'heatingType': 'gas'},{'primaryEnergyConsumptionLevel': ''},{'count': '4'},{'surface': ''},,,"{'garden': {'surface': ''}, 'terrace': {'exists': ''}}",{'SME': {'office': {'exists': ''}}},{'hasSwimmingPool': ''},"{'parkingSpaceCount': {'indoor': '', 'outdoor': ''}}",{'isNewlyBuilt': ''},,,,,De Villa
